,inputFile,inputSize,iteration,algorithm,score,timeSec,memoryKB
0,tests/generated\input0.txt,16,0,basic_solution,108.0,0.004,68.0
1,tests/generated\input0.txt,16,1,basic_solution,108.0,0.004,132.0
2,tests/generated\input0.txt,16,2,basic_solution,108.0,0.004,120.0
3,tests/generated\input0.txt,16,3,basic_solution,108.0,0.004,132.0
4,tests/generated\input0.txt,16,4,basic_solution,108.0,0.003,100.0
5,tests/generated\input0.txt,16,0,efficient_solution,108.0,0.004,132.0
6,tests/generated\input0.txt,16,1,efficient_solution,108.0,0.004,132.0
7,tests/generated\input0.txt,16,2,efficient_solution,108.0,0.004,132.0
8,tests/generated\input0.txt,16,3,efficient_solution,108.0,0.004,132.0
9,tests/generated\input0.txt,16,4,efficient_solution,108.0,0.004,132.0
10,tests/generated\input1.txt,64,0,basic_solution,336.0,0.004,132.0
11,tests/generated\input1.txt,64,1,basic_solution,336.0,0.004,124.0
12,tests/generated\input1.txt,64,2,basic_solution,336.0,0.004,68.0
13,tests/generated\input1.txt,64,3,basic_solution,336.0,0.004,132.0
14,tests/generated\input1.txt,64,4,basic_solution,336.0,0.004,0.0
15,tests/generated\input1.txt,64,0,efficient_solution,336.0,0.004,128.0
16,tests/generated\input1.txt,64,1,efficient_solution,336.0,0.004,132.0
17,tests/generated\input1.txt,64,2,efficient_solution,336.0,0.004,132.0
18,tests/generated\input1.txt,64,3,efficient_solution,336.0,0.004,132.0
19,tests/generated\input1.txt,64,4,efficient_solution,336.0,0.004,96.0
20,tests/generated\input10.txt,16777216,0,basic_solution,80712.0,19.107,669856.0
21,tests/generated\input10.txt,16777216,1,basic_solution,80712.0,16.89,671140.0
22,tests/generated\input10.txt,16777216,2,basic_solution,80712.0,14.678,671104.0
23,tests/generated\input10.txt,16777216,3,basic_solution,80712.0,15.447,669956.0
24,tests/generated\input10.txt,16777216,4,basic_solution,80712.0,14.609,669788.0
25,tests/generated\input10.txt,16777216,0,efficient_solution,80712.0,26.907,700.0
26,tests/generated\input10.txt,16777216,1,efficient_solution,80712.0,26.986,1000.0
27,tests/generated\input10.txt,16777216,2,efficient_solution,80712.0,26.433,672.0
28,tests/generated\input10.txt,16777216,3,efficient_solution,80712.0,27.589,1152.0
29,tests/generated\input10.txt,16777216,4,efficient_solution,80712.0,26.981,868.0
30,tests/generated\input11.txt,16,0,basic_solution,180.0,0.004,64.0
31,tests/generated\input11.txt,16,1,basic_solution,180.0,0.004,132.0
32,tests/generated\input11.txt,16,2,basic_solution,180.0,0.004,68.0
33,tests/generated\input11.txt,16,3,basic_solution,180.0,0.004,128.0
34,tests/generated\input11.txt,16,4,basic_solution,180.0,0.004,124.0
35,tests/generated\input11.txt,16,0,efficient_solution,180.0,0.004,128.0
36,tests/generated\input11.txt,16,1,efficient_solution,180.0,0.004,132.0
37,tests/generated\input11.txt,16,2,efficient_solution,180.0,0.004,132.0
38,tests/generated\input11.txt,16,3,efficient_solution,180.0,0.004,132.0
39,tests/generated\input11.txt,16,4,efficient_solution,180.0,0.004,164.0
40,tests/generated\input12.txt,64,0,basic_solution,240.0,0.004,164.0
41,tests/generated\input12.txt,64,1,basic_solution,240.0,0.004,128.0
42,tests/generated\input12.txt,64,2,basic_solution,240.0,0.004,60.0
43,tests/generated\input12.txt,64,3,basic_solution,240.0,0.004,132.0
44,tests/generated\input12.txt,64,4,basic_solution,240.0,0.004,120.0
45,tests/generated\input12.txt,64,0,efficient_solution,240.0,0.004,132.0
46,tests/generated\input12.txt,64,1,efficient_solution,240.0,0.004,120.0
47,tests/generated\input12.txt,64,2,efficient_solution,240.0,0.004,168.0
48,tests/generated\input12.txt,64,3,efficient_solution,240.0,0.004,132.0
49,tests/generated\input12.txt,64,4,efficient_solution,240.0,0.004,64.0
50,tests/generated\input13.txt,256,0,basic_solution,636.0,0.004,160.0
51,tests/generated\input13.txt,256,1,basic_solution,636.0,0.004,132.0
52,tests/generated\input13.txt,256,2,basic_solution,636.0,0.004,132.0
53,tests/generated\input13.txt,256,3,basic_solution,636.0,0.004,132.0
54,tests/generated\input13.txt,256,4,basic_solution,636.0,0.004,128.0
55,tests/generated\input13.txt,256,0,efficient_solution,636.0,0.004,132.0
56,tests/generated\input13.txt,256,1,efficient_solution,636.0,0.005,128.0
57,tests/generated\input13.txt,256,2,efficient_solution,636.0,0.004,128.0
58,tests/generated\input13.txt,256,3,efficient_solution,636.0,0.006,132.0
59,tests/generated\input13.txt,256,4,efficient_solution,636.0,0.004,132.0
60,tests/generated\input14.txt,1024,0,basic_solution,708.0,0.005,132.0
61,tests/generated\input14.txt,1024,1,basic_solution,708.0,0.004,132.0
62,tests/generated\input14.txt,1024,2,basic_solution,708.0,0.004,120.0
63,tests/generated\input14.txt,1024,3,basic_solution,708.0,0.007,112.0
64,tests/generated\input14.txt,1024,4,basic_solution,708.0,0.004,92.0
65,tests/generated\input14.txt,1024,0,efficient_solution,708.0,0.006,132.0
66,tests/generated\input14.txt,1024,1,efficient_solution,708.0,0.005,132.0
67,tests/generated\input14.txt,1024,2,efficient_solution,708.0,0.005,132.0
68,tests/generated\input14.txt,1024,3,efficient_solution,708.0,0.005,152.0
69,tests/generated\input14.txt,1024,4,efficient_solution,708.0,0.005,164.0
70,tests/generated\input15.txt,4096,0,basic_solution,1920.0,0.007,188.0
71,tests/generated\input15.txt,4096,1,basic_solution,1920.0,0.007,180.0
72,tests/generated\input15.txt,4096,2,basic_solution,1920.0,0.007,120.0
73,tests/generated\input15.txt,4096,3,basic_solution,1920.0,0.006,124.0
74,tests/generated\input15.txt,4096,4,basic_solution,1920.0,0.007,188.0
75,tests/generated\input15.txt,4096,0,efficient_solution,1920.0,0.012,120.0
76,tests/generated\input15.txt,4096,1,efficient_solution,1920.0,0.011,132.0
77,tests/generated\input15.txt,4096,2,efficient_solution,1920.0,0.014,120.0
78,tests/generated\input15.txt,4096,3,efficient_solution,1920.0,0.009,132.0
79,tests/generated\input15.txt,4096,4,efficient_solution,1920.0,0.009,120.0
80,tests/generated\input16.txt,16384,0,basic_solution,5760.0,0.016,576.0
81,tests/generated\input16.txt,16384,1,basic_solution,5760.0,0.015,640.0
82,tests/generated\input16.txt,16384,2,basic_solution,5760.0,0.015,612.0
83,tests/generated\input16.txt,16384,3,basic_solution,5760.0,0.02,580.0
84,tests/generated\input16.txt,16384,4,basic_solution,5760.0,0.015,580.0
85,tests/generated\input16.txt,16384,0,efficient_solution,5760.0,0.023,132.0
86,tests/generated\input16.txt,16384,1,efficient_solution,5760.0,0.031,128.0
87,tests/generated\input16.txt,16384,2,efficient_solution,5760.0,0.024,68.0
88,tests/generated\input16.txt,16384,3,efficient_solution,5760.0,0.036,132.0
89,tests/generated\input16.txt,16384,4,efficient_solution,5760.0,0.023,120.0
90,tests/generated\input17.txt,65536,0,basic_solution,8220.0,0.05,2656.0
91,tests/generated\input17.txt,65536,1,basic_solution,8220.0,0.051,2696.0
92,tests/generated\input17.txt,65536,2,basic_solution,8220.0,0.052,2696.0
93,tests/generated\input17.txt,65536,3,basic_solution,8220.0,0.052,2692.0
94,tests/generated\input17.txt,65536,4,basic_solution,8220.0,0.053,2652.0
95,tests/generated\input17.txt,65536,0,efficient_solution,8220.0,0.107,132.0
96,tests/generated\input17.txt,65536,1,efficient_solution,8220.0,0.106,132.0
97,tests/generated\input17.txt,65536,2,efficient_solution,8220.0,0.14,132.0
98,tests/generated\input17.txt,65536,3,efficient_solution,8220.0,0.106,132.0
99,tests/generated\input17.txt,65536,4,efficient_solution,8220.0,0.119,88.0
100,tests/generated\input18.txt,262144,0,basic_solution,15360.0,0.219,10692.0
101,tests/generated\input18.txt,262144,1,basic_solution,15360.0,0.217,10568.0
102,tests/generated\input18.txt,262144,2,basic_solution,15360.0,0.222,10632.0
103,tests/generated\input18.txt,262144,3,basic_solution,15360.0,0.228,10636.0
104,tests/generated\input18.txt,262144,4,basic_solution,15360.0,0.209,10636.0
105,tests/generated\input18.txt,262144,0,efficient_solution,15360.0,0.358,160.0
106,tests/generated\input18.txt,262144,1,efficient_solution,15360.0,0.38,172.0
107,tests/generated\input18.txt,262144,2,efficient_solution,15360.0,0.395,176.0
108,tests/generated\input18.txt,262144,3,efficient_solution,15360.0,0.457,172.0
109,tests/generated\input18.txt,262144,4,efficient_solution,15360.0,0.381,232.0
110,tests/generated\input19.txt,1048576,0,basic_solution,28764.0,0.863,42940.0
111,tests/generated\input19.txt,1048576,1,basic_solution,28764.0,0.871,42896.0
112,tests/generated\input19.txt,1048576,2,basic_solution,28764.0,0.886,42820.0
113,tests/generated\input19.txt,1048576,3,basic_solution,28764.0,0.877,42992.0
114,tests/generated\input19.txt,1048576,4,basic_solution,28764.0,0.87,42980.0
115,tests/generated\input19.txt,1048576,0,efficient_solution,28764.0,1.684,260.0
116,tests/generated\input19.txt,1048576,1,efficient_solution,28764.0,1.569,252.0
117,tests/generated\input19.txt,1048576,2,efficient_solution,28764.0,1.608,260.0
118,tests/generated\input19.txt,1048576,3,efficient_solution,28764.0,2.805,260.0
119,tests/generated\input19.txt,1048576,4,efficient_solution,28764.0,2.827,260.0
120,tests/generated\input2.txt,256,0,basic_solution,432.0,0.004,132.0
121,tests/generated\input2.txt,256,1,basic_solution,432.0,0.006,132.0
122,tests/generated\input2.txt,256,2,basic_solution,432.0,0.005,132.0
123,tests/generated\input2.txt,256,3,basic_solution,432.0,0.004,136.0
124,tests/generated\input2.txt,256,4,basic_solution,432.0,0.005,68.0
125,tests/generated\input2.txt,256,0,efficient_solution,432.0,0.006,120.0
126,tests/generated\input2.txt,256,1,efficient_solution,432.0,0.004,132.0
127,tests/generated\input2.txt,256,2,efficient_solution,432.0,0.006,132.0
128,tests/generated\input2.txt,256,3,efficient_solution,432.0,0.004,128.0
129,tests/generated\input2.txt,256,4,efficient_solution,432.0,0.006,132.0
130,tests/generated\input3.txt,1024,0,basic_solution,960.0,0.007,120.0
131,tests/generated\input3.txt,1024,1,basic_solution,960.0,0.007,136.0
132,tests/generated\input3.txt,1024,2,basic_solution,960.0,0.007,88.0
133,tests/generated\input3.txt,1024,3,basic_solution,960.0,0.006,128.0
134,tests/generated\input3.txt,1024,4,basic_solution,960.0,0.005,132.0
135,tests/generated\input3.txt,1024,0,efficient_solution,960.0,0.008,68.0
136,tests/generated\input3.txt,1024,1,efficient_solution,960.0,0.006,132.0
137,tests/generated\input3.txt,1024,2,efficient_solution,960.0,0.01,128.0
138,tests/generated\input3.txt,1024,3,efficient_solution,960.0,0.005,132.0
139,tests/generated\input3.txt,1024,4,efficient_solution,960.0,0.005,104.0
140,tests/generated\input4.txt,4096,0,basic_solution,1920.0,0.007,196.0
141,tests/generated\input4.txt,4096,1,basic_solution,1920.0,0.007,140.0
142,tests/generated\input4.txt,4096,2,basic_solution,1920.0,0.007,192.0
143,tests/generated\input4.txt,4096,3,basic_solution,1920.0,0.01,192.0
144,tests/generated\input4.txt,4096,4,basic_solution,1920.0,0.013,188.0
145,tests/generated\input4.txt,4096,0,efficient_solution,1920.0,0.009,120.0
146,tests/generated\input4.txt,4096,1,efficient_solution,1920.0,0.02,128.0
147,tests/generated\input4.txt,4096,2,efficient_solution,1920.0,0.022,128.0
148,tests/generated\input4.txt,4096,3,efficient_solution,1920.0,0.009,128.0
149,tests/generated\input4.txt,4096,4,efficient_solution,1920.0,0.017,120.0
150,tests/generated\input5.txt,16384,0,basic_solution,4080.0,0.02,676.0
151,tests/generated\input5.txt,16384,1,basic_solution,4080.0,0.016,700.0
